motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
HD/24	0.002334328854073581	0.002039767976591904	0.0	0.0	0.0	0.0
HD/25	0.0017660166066431155	0.00028173916144931695	0.0	0.0	0.0	0.0
HD/3	0.0018270251028241584	0.0009384700625934214	0.0	0.0	0.0	0.0
HD/4	0.003471503738855659	0.004648492482503287	0.0	0.0	0.0	0.0
HD/5	0.0010450191732332271	0.0020648403077555126	0.0	0.0	0.0	0.0
HD/6	0.0012723315014066803	0.0012081649369987898	0.0	0.0	0.0	0.0
HD/7	0.0007808319201623243	0.000459845706632988	0.0	0.0	0.0	0.0
HD/8	0.0008422534336042149	0.0009120289196031826	0.0	0.0	0.0	0.0
HD/9	0.0004014915425629964	0.00045669159764366303	0.0	0.0	0.0	0.0
HEN1	0.004542503143932719	0.008510680758343334	0.0	0.0	0.0	0.0
HIC/1	0.004882279012325118	0.006475516647208594	0.0	0.0	0.0	0.0
HIC/2	0.0050189070949442595	0.004666558162313985	0.0	0.0	0.0	0.0
HIF	0.0014972404681591913	0.00415619355564059	0.0	0.0	0.0	0.0
HINFP1/1	0.002567557542364408	0.006454873215962022	0.0	0.0	0.0	0.0
HINFP1/2	0.00010071353642070717	0.0005482700677539416	0.0	0.0	0.0	0.0
HINFP1/3	0.0013555985952679239	0.0021292430312946134	0.0	0.0	0.0	0.0
HLTF	0.0014351891922470474	0.0020013114139685617	0.0	0.0	0.0	0.0
HOMEZ	0.0	0.0	0.0	0.0	0.0	0.0
HSF	0.0005959972489018139	0.002272592019607198	0.0	0.0	0.0	0.0
HSFY2	0.0015247919440235268	0.0011790634604261167	0.0	0.0	0.0	0.0
INSM1	0.005286726593883059	0.0064316563150256046	0.0	0.0	0.0	0.0
IRF/1	0.0025531379137746753	0.0011488761050205002	0.0	0.0	0.0	0.0
IRF/2	0.0027606704758872036	0.0035934362085477617	0.0	0.0	0.0	0.0
IRF/3	0.00046002382180682436	0.0009758841946286428	0.0	0.0	0.0	0.0
IRF/4	0.0008547433378940236	0.0008718561063072281	0.0	0.0	0.0	0.0
KAISO	0.0021276261962169356	0.005039218665227258	0.0	0.0	0.0	0.0
KLF/SP/1	0.0037595376876576225	0.005811429903487442	0.0	0.0	0.0	0.0
KLF/SP/2	0.013298095088385052	0.01689512753521292	0.0	0.0	0.0	0.0
KLF/SP/3	0.003085787568046902	0.004576502861869584	0.0	0.0	0.0	0.0
LEF1	0.007652231897870208	0.00526503570669213	0.0	0.0	0.0	0.0
LIN54	0.0006501091701544214	0.0007430012565010158	0.0	0.0	0.0	0.0
MAF	0.0034148443030373133	0.006536408241897171	0.0	0.0	0.0	0.0
MBD2	0.003115680869249356	0.007231515638751185	0.0	0.0	0.0	0.0
MECP2	0.0029116134436163905	0.007399511999745588	0.0	0.0	0.0	0.0
MEF2	0.0040247438553787426	0.0037056401313246713	0.0	0.0	0.0	0.0
MFZ1	0.00509705200695783	0.005130032356583047	0.0	0.0	0.0	0.0
MIES	0.002483908033537021	0.0034477650227153975	0.0	0.0	0.0	0.0
MTF1	0.0036191211341904273	0.00551147010122053	0.0	0.0	0.0	0.0
MYB/1	0.00045230418478448974	0.0007875076870320142	0.0	0.0	0.0	0.0
MYB/2	0.00037161165365012154	0.0004786974527558413	0.0	0.0	0.0	0.0
MYB/3	0.0014786770662541869	0.0003826436666908033	0.0	0.0	0.0	0.0
MYB/4	0.0009812840719761835	0.0009427901508288984	0.0	0.0	0.0	0.0
MYB/5	0.003387511510906311	0.005912653814614964	0.0	0.0	0.0	0.0
MZF1	0.0038520348350010317	0.003910836845267369	0.0	0.0	0.0	0.0
NFAC/2	0.00569185777822487	0.0056713774256026556	0.0	0.0	0.0	0.0
NFAT/1	0.004851415528901254	0.003933722603325425	0.0	0.0	0.0	0.0
NFAT/2	0.004312771110613623	0.006374929378378726	0.0	0.0	0.0	0.0
NFAT/3	0.0026901517080992524	0.001977964527364279	0.0	0.0	0.0	0.0
NFAT/4	0.0013762305476867995	0.0008768899799287363	0.0	0.0	0.0	0.0
NFI/1	0.0014918261400601244	0.002463492398488895	0.0	0.0	0.0	0.0
NFI/2	0.0005783073932075591	0.0018047898260101	0.0	0.0	0.0	0.0
NFI/3	0.007609343474317009	0.014635505670665006	0.0	0.0	0.0	0.0
NFKB/1	0.002426548969643948	0.0056342788374498355	0.0	0.0	0.0	0.0
NFKB/2	0.002260982697895636	0.002529748662776085	0.0	0.0	0.0	0.0
NFKB/3	0.0019505708112270586	0.004137676686915061	0.0	0.0	0.0	0.0
NFY	0.005386013764380138	0.0063955115604896985	0.0	0.0	0.0	0.0
NR/1	0.0021739400263463297	0.004399453315466222	0.0	0.0	0.0	0.0
NR/10	0.0014813140770028315	0.0025133705230734518	0.0	0.0	0.0	0.0
NR/11	0.0024829148248772474	0.002229250009747933	0.0	0.0	0.0	0.0
NR/12	0.0013617277235127756	0.0020667038398324788	0.0	0.0	0.0	0.0
NR/13	0.0020503571118297777	0.0027717872162493795	0.0	0.0	0.0	0.0
NR/14	0.0017206327391240809	0.0013623068940575567	0.0	0.0	0.0	0.0
NR/15	0.003661009651466697	0.004605099203268071	0.0	0.0	0.0	0.0
NR/16	0.006654681854970866	0.008857124893925853	0.0	0.0	0.0	0.0
NR/17	0.0041251602622493725	0.00641602960871661	0.0	0.0	0.0	0.0
NR/18	0.007466474131852662	0.010745780060626852	0.0	0.0	0.0	0.0
NR/19	0.0030139388564453485	0.0032992594890123906	0.0	0.0	0.0	0.0
NR/2	0.0022716801286098054	0.001795075490149465	0.0	0.0	0.0	0.0
NR/20	0.0026893674958914245	0.003042547811243419	0.0	0.0	0.0	0.0
NR/3	0.0033238859261086853	0.003529640318983291	0.0	0.0	0.0	0.0
NR/4	0.0012297869722506108	0.0011184715714045973	0.0	0.0	0.0	0.0
NR/5	0.0014275188978222298	0.002121239541228088	0.0	0.0	0.0	0.0
NR/6	0.00031964242465328777	0.0004242019322497634	0.0	0.0	0.0	0.0
NR/7	0.00477145536252667	0.0028039261541745963	0.0	0.0	0.0	0.0
NR/8	0.001447452124348338	0.0004897992009242895	0.0	0.0	0.0	0.0
NR/9	0.0005482328707965299	0.0008137169706501973	0.0	0.0	0.0	0.0
NR2E3	0.0012936720849173401	0.001954248977522196	0.0	0.0	0.0	0.0
NRF1	0.0037973584029503795	0.006546155702282337	0.0	0.0	0.0	0.0
OCT4+SOX2	0.003378847289092853	0.0027116692573481865	0.0	0.0	0.0	0.0
OSR2	0.0024289970409070933	0.004186980961411229	0.0	0.0	0.0	0.0
OVOL1	0.00020208681947608107	0.0010697443917399509	0.0	0.0	0.0	0.0
P53-like/1	0.002107753255837597	0.0017430518284341336	0.0	0.0	0.0	0.0
P53-like/2	0.0011349248708886974	0.001400662412757732	0.0	0.0	0.0	0.0
P53-like/3	0.00085154084557286	0.0014848222298094425	0.0	0.0	0.0	0.0
PAX-halfsite	0.001900758067475767	0.0024969059450702233	0.0	0.0	0.0	0.0
PAX/1	0.00700315028638879	0.0052704894349551315	0.0	0.0	0.0	0.0
PAX/2	0.004325610643341684	0.006772524639519841	0.0	0.0	0.0	0.0
PLAG1	0.0022316085150234388	0.004351195059873447	0.0	0.0	0.0	0.0
POU/1	0.0005939871084415049	0.0010207763901577006	-0.004383068704569545	-0.007532373996807533	0.0	0.0
POU/2	0.0051849374165148275	0.004738428614273919	0.0	0.0	0.0	0.0
POU/3	0.0004955339074392596	0.001689247553245519	-0.007441285556547244	-0.025366928944089356	-0.0004955339074392596	-0.001689247553245519
